dataset,period_id,edge_idx,fallback_rate_cents_per_m,dt_sec,odo_delta_m,cell_idx,zone_id,zone_rate_cents_per_m,exact_fee_cents,fallback_fee_cents,fallback_charged_distance_m,speed_bound_slack_m,honest_outage,strategic_declared_outage
geolife,010-20080917225654-0,12,1,60,475,3116,1,5,2375,1980,1980,1505,False,True
geolife,010-20080917225654-0,13,1,60,613,3616,1,5,3065,1980,1980,1367,False,True
geolife,010-20080917225654-0,14,1,60,42,4216,1,5,210,1980,1980,1938,False,False
geolife,010-20080917225654-0,15,1,26,45,4316,1,5,225,858,858,813,False,False
geolife,010-20080921224934-0,0,1,60,266,417,2,3,798,1980,1980,1714,False,False
geolife,010-20080921224934-0,1,1,60,96,516,2,3,288,1980,1980,1884,False,False
geolife,010-20080921224934-0,2,1,60,18,616,2,3,54,1980,1980,1962,False,False
geolife,010-20080921224934-0,3,1,60,47,616,2,3,141,1980,1980,1933,False,False
geolife,010-20080921224934-0,4,1,60,23,616,2,3,69,1980,1980,1957,False,False
geolife,010-20080921224934-0,5,1,60,64,616,2,3,192,1980,1980,1916,False,False
geolife,010-20080921224934-0,6,1,60,5,716,2,3,15,1980,1980,1975,False,False
geolife,010-20080921224934-0,7,1,60,68,716,2,3,204,1980,1980,1912,False,False
geolife,010-20080921224934-0,8,1,60,13,816,2,3,39,1980,1980,1967,False,False
geolife,010-20080921224934-0,9,1,60,102,816,2,3,306,1980,1980,1878,False,False
geolife,010-20080921224934-0,10,1,60,1,916,2,3,3,1980,1980,1979,False,False
geolife,010-20080921224934-0,11,1,60,17,916,2,3,51,1980,1980,1963,False,False
geolife,010-20080921224934-0,12,1,60,560,916,2,3,1680,1980,1980,1420,False,False
geolife,010-20080921224934-0,13,1,60,76,1516,1,5,380,1980,1980,1904,False,False
geolife,010-20080921224934-0,14,1,60,257,1516,1,5,1285,1980,1980,1723,False,False
geolife,010-20080921224934-0,15,1,60,128,1816,1,5,640,1980,1980,1852,False,False
geolife,010-20080921224934-0,16,1,60,28,1916,1,5,140,1980,1980,1952,False,False
geolife,010-20080921224934-0,17,1,60,29,1916,1,5,145,1980,1980,1951,False,False
geolife,010-20080921224934-0,18,1,60,461,2016,1,5,2305,1980,1980,1519,False,True
geolife,010-20080921224934-0,19,1,60,31,2416,1,5,155,1980,1980,1949,False,False
geolife,010-20080921224934-0,20,1,60,280,2516,1,5,1400,1980,1980,1700,False,False
geolife,010-20080921224934-0,21,1,60,109,2716,1,5,545,1980,1980,1871,False,False
geolife,010-20080921224934-0,22,1,60,12,2816,1,5,60,1980,1980,1968,False,False
geolife,010-20080921224934-0,23,1,60,12,2816,1,5,60,1980,1980,1968,False,False
geolife,010-20080921224934-0,24,1,60,121,2916,1,5,605,1980,1980,1859,False,False
geolife,010-20080921224934-0,25,1,60,6,3016,1,5,30,1980,1980,1974,False,False
geolife,010-20080921224934-0,26,1,60,50,3016,1,5,250,1980,1980,1930,False,False
geolife,010-20080921224934-0,27,1,60,71,3016,1,5,355,1980,1980,1909,False,False
geolife,010-20080921224934-0,28,1,60,23,3116,1,5,115,1980,1980,1957,False,False
geolife,010-20080921224934-0,29,1,60,339,3116,1,5,1695,1980,1980,1641,False,False
geolife,010-20080921224934-0,30,1,60,373,3416,1,5,1865,1980,1980,1607,False,False
geolife,010-20080921224934-0,31,1,60,158,3816,1,5,790,1980,1980,1822,False,False
geolife,010-20080921224934-0,32,1,60,45,4016,1,5,225,1980,1980,1935,False,False
geolife,010-20080921224934-0,33,1,60,100,4016,1,5,500,1980,1980,1880,False,False
geolife,010-20080921224934-0,34,1,55,262,4116,1,5,1310,1815,1815,1553,False,False
geolife,010-20080922111517-0,0,1,60,578,4315,1,5,2890,1980,1980,1402,False,True
geolife,010-20080922111517-0,1,1,60,479,3716,1,5,2395,1980,1980,1501,False,True
geolife,010-20080922111517-0,2,1,60,637,3316,1,5,3185,1980,1980,1343,False,True
geolife,010-20080922111517-0,3,1,60,132,2616,1,5,660,1980,1980,1848,False,False
geolife,010-20080922111517-0,4,1,60,487,2516,1,5,2435,1980,1980,1493,False,True
geolife,010-20080922111517-0,5,1,60,91,2016,1,5,455,1980,1980,1889,False,False
geolife,010-20080922111517-0,6,1,60,797,1916,1,5,3985,1980,1980,1183,False,True
geolife,010-20080922111517-0,7,1,60,18,1116,2,3,54,1980,1980,1962,False,False
geolife,010-20080922111517-0,8,1,60,339,1116,2,3,1017,1980,1980,1641,False,False
geolife,010-20080922111517-0,9,1,60,570,816,2,3,1710,1980,1980,1410,False,False
geolife,010-20080922111517-0,10,1,60,666,417,2,3,1998,1980,1980,1314,False,True
geolife,010-20080922111517-0,11,1,27,203,219,2,3,609,891,891,688,False,False
geolife,010-20080922234926-0,0,1,60,120,417,2,3,360,1980,1980,1860,False,False
geolife,010-20080922234926-0,1,1,60,42,416,2,3,126,1980,1980,1938,False,False
geolife,010-20080922234926-0,2,1,60,111,416,2,3,333,1980,1980,1869,False,False
geolife,010-20080922234926-0,3,1,60,40,616,2,3,120,1980,1980,1940,False,False
geolife,010-20080922234926-0,4,1,60,30,616,2,3,90,1980,1980,1950,False,False
geolife,010-20080922234926-0,5,1,60,107,616,2,3,321,1980,1980,1873,False,False
geolife,010-20080922234926-0,6,1,60,53,716,2,3,159,1980,1980,1927,False,False
geolife,010-20080922234926-0,7,1,60,7,816,2,3,21,1980,1980,1973,False,False
geolife,010-20080922234926-0,8,1,60,7,816,2,3,21,1980,1980,1973,False,False
geolife,010-20080922234926-0,9,1,60,8,816,2,3,24,1980,1980,1972,False,False
geolife,010-20080922234926-0,10,1,60,179,816,2,3,537,1980,1980,1801,False,False
geolife,010-20080922234926-0,11,1,60,3,1016,2,3,9,1980,1980,1977,False,False
geolife,010-20080922234926-0,12,1,60,0,1016,2,3,0,1980,1980,1980,False,False
geolife,010-20080922234926-0,13,1,60,4,1016,2,3,12,1980,1980,1976,False,False
geolife,010-20080922234926-0,14,1,60,17,1016,2,3,51,1980,1980,1963,False,False
geolife,010-20080922234926-0,15,1,60,519,1016,2,3,1557,1980,1980,1461,False,False
geolife,010-20080922234926-0,16,1,60,84,1516,1,5,420,1980,1980,1896,False,False
geolife,010-20080922234926-0,17,1,60,77,1616,1,5,385,1980,1980,1903,False,False
geolife,010-20080922234926-0,18,1,60,140,1716,1,5,700,1980,1980,1840,False,False
geolife,010-20080922234926-0,19,1,60,45,1816,1,5,225,1980,1980,1935,False,False
geolife,010-20080922234926-0,20,1,60,62,1816,1,5,310,1980,1980,1918,False,False
geolife,010-20080922234926-0,21,1,60,460,1916,1,5,2300,1980,1980,1520,False,True
geolife,010-20080922234926-0,22,1,60,525,2416,1,5,2625,1980,1980,1455,False,True
geolife,010-20080922234926-0,23,1,60,12,2916,1,5,60,1980,1980,1968,False,False
geolife,010-20080922234926-0,24,1,60,12,2916,1,5,60,1980,1980,1968,False,False
geolife,010-20080922234926-0,25,1,60,114,2916,1,5,570,1980,1980,1866,False,False
geolife,010-20080922234926-0,26,1,60,1,3016,1,5,5,1980,1980,1979,False,False
geolife,010-20080922234926-0,27,1,60,3,3016,1,5,15,1980,1980,1977,False,False
geolife,010-20080922234926-0,28,1,60,662,3016,1,5,3310,1980,1980,1318,False,True
geolife,010-20080922234926-0,29,1,60,26,3716,1,5,130,1980,1980,1954,False,False
geolife,010-20080922234926-0,30,1,60,120,3716,1,5,600,1980,1980,1860,False,False
geolife,010-20080922234926-0,31,1,60,218,3816,1,5,1090,1980,1980,1762,False,False
geolife,010-20080922234926-0,32,1,60,142,4016,1,5,710,1980,1980,1838,False,False
geolife,010-20080922234926-0,33,1,60,20,4216,1,5,100,1980,1980,1960,False,False
geolife,010-20080922234926-0,34,1,55,158,4216,1,5,790,1815,1815,1657,False,False
geolife,010-20080923121817-0,0,1,60,532,4315,1,5,2660,1980,1980,1448,False,True
geolife,010-20080923121817-0,1,1,60,616,3816,1,5,3080,1980,1980,1364,False,True
geolife,010-20080923121817-0,2,1,60,16,3216,1,5,80,1980,1980,1964,False,False
geolife,010-20080923121817-0,3,1,60,479,3216,1,5,2395,1980,1980,1501,False,True
geolife,010-20080923121817-0,4,1,60,559,2716,1,5,2795,1980,1980,1421,False,True
geolife,010-20080923121817-0,5,1,60,852,2216,1,5,4260,1980,1980,1128,False,True
geolife,010-20080923121817-0,6,1,60,171,1316,1,5,855,1980,1980,1809,False,False
geolife,010-20080923121817-0,7,1,60,225,1116,2,3,675,1980,1980,1755,False,False
geolife,010-20080923121817-0,8,1,60,366,916,2,3,1098,1980,1980,1614,False,False
geolife,010-20080923121817-0,9,1,60,420,616,2,3,1260,1980,1980,1560,False,False
geolife,010-20080923121817-0,10,1,60,638,517,2,3,1914,1980,1980,1342,False,False
geolife,010-20080923121817-0,11,1,30,221,220,2,3,663,990,990,769,False,False
geolife,010-20080923231456-1,0,1,60,147,417,2,3,441,1980,1980,1833,False,False
geolife,010-20080923231456-1,1,1,60,10,416,2,3,30,1980,1980,1970,False,False
geolife,010-20080923231456-1,2,1,60,10,416,2,3,30,1980,1980,1970,False,False
geolife,010-20080923231456-1,3,1,60,39,416,2,3,117,1980,1980,1941,False,False
geolife,010-20080923231456-1,4,1,60,33,516,2,3,99,1980,1980,1947,False,False
geolife,010-20080923231456-1,5,1,60,53,516,2,3,159,1980,1980,1927,False,False
geolife,010-20080923231456-1,6,1,60,5,516,2,3,15,1980,1980,1975,False,False
geolife,010-20080923231456-1,7,1,60,4,516,2,3,12,1980,1980,1976,False,False
geolife,010-20080923231456-1,8,1,60,5,516,2,3,15,1980,1980,1975,False,False
geolife,010-20080923231456-1,9,1,60,5,616,2,3,15,1980,1980,1975,False,False
geolife,010-20080923231456-1,10,1,60,5,616,2,3,15,1980,1980,1975,False,False
geolife,010-20080923231456-1,11,1,60,4,616,2,3,12,1980,1980,1976,False,False
geolife,010-20080923231456-1,12,1,60,17,616,2,3,51,1980,1980,1963,False,False
geolife,010-20080923231456-1,13,1,60,30,616,2,3,90,1980,1980,1950,False,False
geolife,010-20080923231456-1,14,1,60,27,616,2,3,81,1980,1980,1953,False,False
geolife,010-20080923231456-1,15,1,60,24,616,2,3,72,1980,1980,1956,False,False
geolife,010-20080923231456-1,16,1,60,2,716,2,3,6,1980,1980,1978,False,False
geolife,010-20080923231456-1,17,1,60,0,716,2,3,0,1980,1980,1980,False,False
geolife,010-20080923231456-1,18,1,60,48,716,2,3,144,1980,1980,1932,False,False
geolife,010-20080923231456-1,19,1,60,63,716,2,3,189,1980,1980,1917,False,False
geolife,010-20080923231456-1,20,1,60,12,816,2,3,36,1980,1980,1968,False,False
geolife,010-20080923231456-1,21,1,60,166,816,2,3,498,1980,1980,1814,False,False
geolife,010-20080923231456-1,22,1,60,6,916,2,3,18,1980,1980,1974,False,False
geolife,010-20080923231456-1,23,1,60,12,916,2,3,36,1980,1980,1968,False,False
geolife,010-20080923231456-1,24,1,60,16,916,2,3,48,1980,1980,1964,False,False
geolife,010-20080923231456-1,25,1,60,419,1016,2,3,1257,1980,1980,1561,False,False
geolife,010-20080923231456-1,26,1,60,81,1416,1,5,405,1980,1980,1899,False,False
geolife,010-20080923231456-1,27,1,60,96,1516,1,5,480,1980,1980,1884,False,False
geolife,010-20080923231456-1,28,1,60,64,1516,1,5,320,1980,1980,1916,False,False
geolife,010-20080923231456-1,29,1,60,67,1616,1,5,335,1980,1980,1913,False,False
geolife,010-20080923231456-1,30,1,60,89,1716,1,5,445,1980,1980,1891,False,False
geolife,010-20080923231456-1,31,1,60,72,1816,1,5,360,1980,1980,1908,False,False
geolife,010-20080923231456-1,32,1,60,63,1816,1,5,315,1980,1980,1917,False,False
geolife,010-20080923231456-1,33,1,60,484,1916,1,5,2420,1980,1980,1496,False,True
geolife,010-20080923231456-1,34,1,60,221,2416,1,5,1105,1980,1980,1759,False,False
geolife,010-20080923231456-1,35,1,60,140,2616,1,5,700,1980,1980,1840,False,False
geolife,010-20080923231456-1,36,1,60,32,2716,1,5,160,1980,1980,1948,False,False
geolife,010-20080923231456-1,37,1,60,19,2816,1,5,95,1980,1980,1961,False,False
geolife,010-20080923231456-1,38,1,60,32,2816,1,5,160,1980,1980,1948,False,False
geolife,010-20080923231456-1,39,1,60,11,2816,1,5,55,1980,1980,1969,False,False
geolife,010-20080923231456-1,40,1,60,65,2816,1,5,325,1980,1980,1915,False,False
geolife,010-20080923231456-1,41,1,60,19,2916,1,5,95,1980,1980,1961,False,False
geolife,010-20080923231456-1,42,1,60,10,2916,1,5,50,1980,1980,1970,False,False
geolife,010-20080923231456-1,43,1,60,94,2916,1,5,470,1980,1980,1886,False,False
geolife,010-20080923231456-1,44,1,60,7,3016,1,5,35,1980,1980,1973,False,False
geolife,010-20080923231456-1,45,1,60,58,3016,1,5,290,1980,1980,1922,False,False
geolife,010-20080923231456-1,46,1,60,426,3116,1,5,2130,1980,1980,1554,False,True
geolife,010-20080923231456-1,47,1,60,40,3516,1,5,200,1980,1980,1940,False,False
geolife,010-20080923231456-1,48,1,60,12,3516,1,5,60,1980,1980,1968,False,False
geolife,010-20080923231456-1,49,1,60,138,3516,1,5,690,1980,1980,1842,False,False
geolife,010-20080923231456-1,50,1,60,29,3716,1,5,145,1980,1980,1951,False,False
geolife,010-20080923231456-1,51,1,60,103,3716,1,5,515,1980,1980,1877,False,False
geolife,010-20080923231456-1,52,1,60,78,3816,1,5,390,1980,1980,1902,False,False
geolife,010-20080923231456-1,53,1,60,62,3816,1,5,310,1980,1980,1918,False,False
geolife,010-20080923231456-1,54,1,60,178,3916,1,5,890,1980,1980,1802,False,False
geolife,010-20080923231456-1,55,1,60,122,4016,1,5,610,1980,1980,1858,False,False
geolife,010-20080923231456-1,56,1,60,167,4116,1,5,835,1980,1980,1813,False,False
geolife,010-20080923231456-1,57,1,41,80,4216,1,5,400,1353,1353,1273,False,False
geolife,010-20080924113459-1,0,1,60,489,4315,1,5,2445,1980,1980,1491,False,True
geolife,010-20080924113459-1,1,1,60,72,3916,1,5,360,1980,1980,1908,False,False
geolife,010-20080924113459-1,2,1,60,605,3816,1,5,3025,1980,1980,1375,False,True
geolife,010-20080924113459-1,3,1,60,48,3216,1,5,240,1980,1980,1932,False,False
geolife,010-20080924113459-1,4,1,60,51,3216,1,5,255,1980,1980,1929,False,False
geolife,010-20080924113459-1,5,1,60,625,3116,1,5,3125,1980,1980,1355,False,True
geolife,010-20080924113459-1,6,1,60,212,2516,1,5,1060,1980,1980,1768,False,False
geolife,010-20080924113459-1,7,1,60,477,2316,1,5,2385,1980,1980,1503,False,True
geolife,010-20080924113459-1,8,1,60,669,1816,1,5,3345,1980,1980,1311,False,True
geolife,010-20080924113459-1,9,1,60,20,1116,2,3,60,1980,1980,1960,False,False
geolife,010-20080924113459-1,10,1,60,451,1116,2,3,1353,1980,1980,1529,False,False
geolife,010-20080924113459-1,11,1,60,412,716,2,3,1236,1980,1980,1568,False,False
geolife,010-20080924113459-1,12,1,60,624,417,2,3,1872,1980,1980,1356,False,False
geolife,010-20080924113459-1,13,1,42,404,318,2,3,1212,1386,1386,982,False,False
geolife,010-20080924231334-1,0,1,60,191,417,2,3,573,1980,1980,1789,False,False
geolife,010-20080924231334-1,1,1,60,277,516,2,3,831,1980,1980,1703,False,False
geolife,010-20080924231334-1,2,1,60,7,816,2,3,21,1980,1980,1973,False,False
geolife,010-20080924231334-1,3,1,60,7,816,2,3,21,1980,1980,1973,False,False
geolife,010-20080924231334-1,4,1,60,8,816,2,3,24,1980,1980,1972,False,False
geolife,010-20080924231334-1,5,1,60,7,816,2,3,21,1980,1980,1973,False,False
geolife,010-20080924231334-1,6,1,60,115,816,2,3,345,1980,1980,1865,False,False
geolife,010-20080924231334-1,7,1,60,1,916,2,3,3,1980,1980,1979,False,False
geolife,010-20080924231334-1,8,1,60,572,916,2,3,1716,1980,1980,1408,False,False
geolife,010-20080924231334-1,9,1,60,354,1516,1,5,1770,1980,1980,1626,False,False
geolife,010-20080924231334-1,10,1,60,212,1816,1,5,1060,1980,1980,1768,False,False
geolife,010-20080924231334-1,11,1,60,318,2016,1,5,1590,1980,1980,1662,False,False
geolife,010-20080924231334-1,12,1,60,16,2316,1,5,80,1980,1980,1964,False,False
geolife,010-20080924231334-1,13,1,60,66,2416,1,5,330,1980,1980,1914,False,False
geolife,010-20080924231334-1,14,1,60,190,2416,1,5,950,1980,1980,1790,False,False
geolife,010-20080924231334-1,15,1,60,219,2616,1,5,1095,1980,1980,1761,False,False
geolife,010-20080924231334-1,16,1,60,76,2816,1,5,380,1980,1980,1904,False,False
geolife,010-20080924231334-1,17,1,60,19,2916,1,5,95,1980,1980,1961,False,False
geolife,010-20080924231334-1,18,1,60,15,2916,1,5,75,1980,1980,1965,False,False
geolife,010-20080924231334-1,19,1,60,132,2916,1,5,660,1980,1980,1848,False,False
geolife,010-20080924231334-1,20,1,60,1,3016,1,5,5,1980,1980,1979,False,False
geolife,010-20080924231334-1,21,1,60,19,3016,1,5,95,1980,1980,1961,False,False
geolife,010-20080924231334-1,22,1,60,612,3116,1,5,3060,1980,1980,1368,False,True
geolife,010-20080924231334-1,23,1,60,245,3716,1,5,1225,1980,1980,1735,False,False
geolife,010-20080924231334-1,24,1,60,183,3916,1,5,915,1980,1980,1797,False,False
geolife,010-20080924231334-1,25,1,35,162,4116,1,5,810,1155,1155,993,False,False
geolife,010-20080925104204-0,0,1,60,517,4315,1,5,2585,1980,1980,1463,False,True
geolife,010-20080925104204-0,1,1,60,29,3816,1,5,145,1980,1980,1951,False,False
geolife,010-20080925104204-0,2,1,60,340,3816,1,5,1700,1980,1980,1640,False,False
geolife,010-20080925104204-0,3,1,60,64,3516,1,5,320,1980,1980,1916,False,False
geolife,010-20080925104204-0,4,1,60,102,3416,1,5,510,1980,1980,1878,False,False
geolife,010-20080925104204-0,5,1,60,15,3316,1,5,75,1980,1980,1965,False,False
geolife,010-20080925104204-0,6,1,60,108,3316,1,5,540,1980,1980,1872,False,False
geolife,010-20080925104204-0,7,1,60,31,3216,1,5,155,1980,1980,1949,False,False
geolife,010-20080925104204-0,8,1,60,108,3216,1,5,540,1980,1980,1872,False,False
geolife,010-20080925104204-0,9,1,60,538,3116,1,5,2690,1980,1980,1442,False,True
geolife,010-20080925104204-0,10,1,60,76,2616,1,5,380,1980,1980,1904,False,False
geolife,010-20080925104204-0,11,1,60,418,2516,1,5,2090,1980,1980,1562,False,True
geolife,010-20080925104204-0,12,1,60,111,2116,1,5,555,1980,1980,1869,False,False
geolife,010-20080925104204-0,13,1,60,680,2016,1,5,3400,1980,1980,1300,False,True
geolife,010-20080925104204-0,14,1,60,157,1316,1,5,785,1980,1980,1823,False,False
geolife,010-20080925104204-0,15,1,60,350,1116,2,3,1050,1980,1980,1630,False,False
geolife,010-20080925104204-0,16,1,60,311,816,2,3,933,1980,1980,1669,False,False
geolife,010-20080925104204-0,17,1,60,598,516,2,3,1794,1980,1980,1382,False,False
geolife,010-20080925104204-0,18,1,48,415,416,2,3,1245,1584,1584,1169,False,False
geolife,010-20080925233430-0,0,1,60,104,417,2,3,312,1980,1980,1876,False,False
geolife,010-20080925233430-0,1,1,60,55,416,2,3,165,1980,1980,1925,False,False
geolife,010-20080925233430-0,2,1,60,72,516,2,3,216,1980,1980,1908,False,False
geolife,010-20080925233430-0,3,1,60,15,516,2,3,45,1980,1980,1965,False,False
geolife,010-20080925233430-0,4,1,60,60,516,2,3,180,1980,1980,1920,False,False
geolife,010-20080925233430-0,5,1,60,21,616,2,3,63,1980,1980,1959,False,False
geolife,010-20080925233430-0,6,1,60,45,616,2,3,135,1980,1980,1935,False,False
geolife,010-20080925233430-0,7,1,60,26,716,2,3,78,1980,1980,1954,False,False
geolife,010-20080925233430-0,8,1,60,75,716,2,3,225,1980,1980,1905,False,False
geolife,010-20080925233430-0,9,1,60,50,816,2,3,150,1980,1980,1930,False,False
geolife,010-20080925233430-0,10,1,60,61,816,2,3,183,1980,1980,1919,False,False
geolife,010-20080925233430-0,11,1,60,22,916,2,3,66,1980,1980,1958,False,False
geolife,010-20080925233430-0,12,1,60,76,916,2,3,228,1980,1980,1904,False,False
geolife,010-20080925233430-0,13,1,60,19,1016,2,3,57,1980,1980,1961,False,False
geolife,010-20080925233430-0,14,1,60,420,1016,2,3,1260,1980,1980,1560,False,False
geolife,010-20080925233430-0,15,1,60,81,1416,1,5,405,1980,1980,1899,False,False
geolife,010-20080925233430-0,16,1,60,173,1516,1,5,865,1980,1980,1807,False,False
geolife,010-20080925233430-0,17,1,60,138,1616,1,5,690,1980,1980,1842,False,False
geolife,010-20080925233430-0,18,1,60,32,1816,1,5,160,1980,1980,1948,False,False
geolife,010-20080925233430-0,19,1,60,209,1816,1,5,1045,1980,1980,1771,False,False
geolife,010-20080925233430-0,20,1,60,344,2016,1,5,1720,1980,1980,1636,False,False
geolife,010-20080925233430-0,21,1,60,65,2416,1,5,325,1980,1980,1915,False,False
geolife,010-20080925233430-0,22,1,60,449,2416,1,5,2245,1980,1980,1531,False,True
geolife,010-20080925233430-0,23,1,60,138,2916,1,5,690,1980,1980,1842,False,False
geolife,010-20080925233430-0,24,1,60,15,3016,1,5,75,1980,1980,1965,False,False
geolife,010-20080925233430-0,25,1,60,307,3016,1,5,1535,1980,1980,1673,False,False
geolife,010-20080925233430-0,26,1,60,575,3316,1,5,2875,1980,1980,1405,False,True
geolife,010-20080925233430-0,27,1,60,202,3916,1,5,1010,1980,1980,1778,False,False
geolife,010-20080925233430-0,28,1,60,124,4117,1,5,620,1980,1980,1856,False,False
geolife,010-20080925233430-0,29,1,60,46,4216,1,5,230,1980,1980,1934,False,False
geolife,010-20080925233430-0,30,1,20,50,4316,1,5,250,660,660,610,False,False
geolife,010-20080926105402-0,0,1,60,484,4315,1,5,2420,1980,1980,1496,False,True
geolife,010-20080926105402-0,1,1,60,18,3916,1,5,90,1980,1980,1962,False,False
geolife,010-20080926105402-0,2,1,60,555,3916,1,5,2775,1980,1980,1425,False,True
geolife,010-20080926105402-0,3,1,60,99,3316,1,5,495,1980,1980,1881,False,False
geolife,010-20080926105402-0,4,1,60,14,3216,1,5,70,1980,1980,1966,False,False
geolife,010-20080926105402-0,5,1,60,445,3216,1,5,2225,1980,1980,1535,False,True
geolife,010-20080926105402-0,6,1,60,271,2816,1,5,1355,1980,1980,1709,False,False
geolife,010-20080926105402-0,7,1,60,613,2516,1,5,3065,1980,1980,1367,False,True
geolife,010-20080926105402-0,8,1,60,773,1916,1,5,3865,1980,1980,1207,False,True
geolife,010-20080926105402-0,9,1,60,18,1116,2,3,54,1980,1980,1962,False,False
geolife,010-20080926105402-0,10,1,60,359,1116,2,3,1077,1980,1980,1621,False,False
geolife,010-20080926105402-0,11,1,60,206,816,2,3,618,1980,1980,1774,False,False
geolife,010-20080926105402-0,12,1,60,148,616,2,3,444,1980,1980,1832,False,False
geolife,010-20080926105402-0,13,1,60,620,416,2,3,1860,1980,1980,1360,False,False
geolife,010-20080926105402-0,14,1,55,501,417,2,3,1503,1815,1815,1314,False,False
geolife,010-20080927232235-1,0,1,60,164,417,2,3,492,1980,1980,1816,False,False
geolife,010-20080927232235-1,1,1,60,179,516,2,3,537,1980,1980,1801,False,False
geolife,010-20080927232235-1,2,1,60,37,616,2,3,111,1980,1980,1943,False,False
geolife,010-20080927232235-1,3,1,60,50,716,2,3,150,1980,1980,1930,False,False
geolife,010-20080927232235-1,4,1,60,18,716,2,3,54,1980,1980,1962,False,False
geolife,010-20080927232235-1,5,1,60,24,716,2,3,72,1980,1980,1956,False,False
geolife,010-20080927232235-1,6,1,60,93,816,2,3,279,1980,1980,1887,False,False
geolife,010-20080927232235-1,7,1,60,9,916,2,3,27,1980,1980,1971,False,False
geolife,010-20080927232235-1,8,1,60,11,916,2,3,33,1980,1980,1969,False,False
geolife,010-20080927232235-1,9,1,60,410,916,2,3,1230,1980,1980,1570,False,False
geolife,010-20080927232235-1,10,1,60,618,1316,1,5,3090,1980,1980,1362,False,True
geolife,010-20080927232235-1,11,1,60,13,1916,1,5,65,1980,1980,1967,False,False
geolife,010-20080927232235-1,12,1,60,274,1916,1,5,1370,1980,1980,1706,False,False
geolife,010-20080927232235-1,13,1,60,354,2216,1,5,1770,1980,1980,1626,False,False
geolife,010-20080927232235-1,14,1,60,327,2516,1,5,1635,1980,1980,1653,False,False
geolife,010-20080927232235-1,15,1,60,14,2916,1,5,70,1980,1980,1966,False,False
geolife,010-20080927232235-1,16,1,60,82,2916,1,5,410,1980,1980,1898,False,False
geolife,010-20080927232235-1,17,1,60,9,3016,1,5,45,1980,1980,1971,False,False
geolife,010-20080927232235-1,18,1,60,3,3016,1,5,15,1980,1980,1977,False,False
geolife,010-20080927232235-1,19,1,60,119,3016,1,5,595,1980,1980,1861,False,False
geolife,010-20080927232235-1,20,1,60,380,3116,1,5,1900,1980,1980,1600,False,False
geolife,010-20080927232235-1,21,1,35,417,3516,1,5,2085,1155,1155,738,False,True
geolife,010-20081005225112-1,0,1,60,45,417,2,3,135,1980,1980,1935,False,False
geolife,010-20081005225112-1,1,1,60,24,417,2,3,72,1980,1980,1956,False,False
geolife,010-20081005225112-1,2,1,60,65,416,2,3,195,1980,1980,1915,False,False
geolife,010-20081005225112-1,3,1,60,29,416,2,3,87,1980,1980,1951,False,False
geolife,010-20081005225112-1,4,1,60,10,416,2,3,30,1980,1980,1970,False,False
geolife,010-20081005225112-1,5,1,60,10,416,2,3,30,1980,1980,1970,False,False
geolife,010-20081005225112-1,6,1,60,124,416,2,3,372,1980,1980,1856,False,False
geolife,010-20081005225112-1,7,1,60,17,616,2,3,51,1980,1980,1963,False,False
