dataset,period_id,edge_idx,dt_sec,odo_delta_m,cell_idx,zone_id,zone_rate_cents_per_m,exact_fee_cents,fallback_distance_m,max_zone_rate_cents_per_m,break_even_rate_cents_per_m,break_even_alpha,movement_ratio,dwell_edge,speed_bound_slack_m,speed_bound_ok
geolife,010-20080917225654-0,12,60,475,3116,1,5,2375.0,1980.0,5.0,1.1994949494949494,0.2398989898989899,0.2398989898989899,False,1505.0,True
geolife,010-20080917225654-0,13,60,613,3616,1,5,3065.0,1980.0,5.0,1.547979797979798,0.3095959595959596,0.3095959595959596,False,1367.0,True
geolife,010-20080917225654-0,14,60,42,4216,1,5,210.0,1980.0,5.0,0.10606060606060606,0.021212121212121213,0.021212121212121213,False,1938.0,True
geolife,010-20080917225654-0,15,26,45,4316,1,5,225.0,858.0,5.0,0.26223776223776224,0.05244755244755245,0.05244755244755245,False,813.0,True
geolife,010-20080921224934-0,0,60,266,417,2,3,798.0,1980.0,5.0,0.403030303030303,0.0806060606060606,0.13434343434343435,False,1714.0,True
geolife,010-20080921224934-0,1,60,96,516,2,3,288.0,1980.0,5.0,0.14545454545454545,0.02909090909090909,0.048484848484848485,False,1884.0,True
geolife,010-20080921224934-0,2,60,18,616,2,3,54.0,1980.0,5.0,0.02727272727272727,0.005454545454545454,0.00909090909090909,False,1962.0,True
geolife,010-20080921224934-0,3,60,47,616,2,3,141.0,1980.0,5.0,0.07121212121212121,0.014242424242424242,0.023737373737373738,False,1933.0,True
geolife,010-20080921224934-0,4,60,23,616,2,3,69.0,1980.0,5.0,0.03484848484848485,0.00696969696969697,0.011616161616161616,False,1957.0,True
geolife,010-20080921224934-0,5,60,64,616,2,3,192.0,1980.0,5.0,0.09696969696969697,0.019393939393939394,0.03232323232323232,False,1916.0,True
geolife,010-20080921224934-0,6,60,5,716,2,3,15.0,1980.0,5.0,0.007575757575757576,0.0015151515151515152,0.0025252525252525255,True,1975.0,True
geolife,010-20080921224934-0,7,60,68,716,2,3,204.0,1980.0,5.0,0.10303030303030303,0.020606060606060607,0.03434343434343434,False,1912.0,True
geolife,010-20080921224934-0,8,60,13,816,2,3,39.0,1980.0,5.0,0.019696969696969695,0.003939393939393939,0.0065656565656565654,False,1967.0,True
geolife,010-20080921224934-0,9,60,102,816,2,3,306.0,1980.0,5.0,0.15454545454545454,0.030909090909090907,0.051515151515151514,False,1878.0,True
geolife,010-20080921224934-0,10,60,1,916,2,3,3.0,1980.0,5.0,0.0015151515151515152,0.00030303030303030303,0.000505050505050505,True,1979.0,True
geolife,010-20080921224934-0,11,60,17,916,2,3,51.0,1980.0,5.0,0.025757575757575757,0.005151515151515152,0.008585858585858586,False,1963.0,True
geolife,010-20080921224934-0,12,60,560,916,2,3,1680.0,1980.0,5.0,0.8484848484848485,0.1696969696969697,0.2828282828282828,False,1420.0,True
geolife,010-20080921224934-0,13,60,76,1516,1,5,380.0,1980.0,5.0,0.1919191919191919,0.03838383838383838,0.03838383838383838,False,1904.0,True
geolife,010-20080921224934-0,14,60,257,1516,1,5,1285.0,1980.0,5.0,0.648989898989899,0.1297979797979798,0.1297979797979798,False,1723.0,True
geolife,010-20080921224934-0,15,60,128,1816,1,5,640.0,1980.0,5.0,0.32323232323232326,0.06464646464646465,0.06464646464646465,False,1852.0,True
geolife,010-20080921224934-0,16,60,28,1916,1,5,140.0,1980.0,5.0,0.0707070707070707,0.01414141414141414,0.014141414141414142,False,1952.0,True
geolife,010-20080921224934-0,17,60,29,1916,1,5,145.0,1980.0,5.0,0.07323232323232323,0.014646464646464647,0.014646464646464647,False,1951.0,True
geolife,010-20080921224934-0,18,60,461,2016,1,5,2305.0,1980.0,5.0,1.1641414141414141,0.23282828282828283,0.23282828282828283,False,1519.0,True
geolife,010-20080921224934-0,19,60,31,2416,1,5,155.0,1980.0,5.0,0.07828282828282829,0.015656565656565657,0.015656565656565657,False,1949.0,True
geolife,010-20080921224934-0,20,60,280,2516,1,5,1400.0,1980.0,5.0,0.7070707070707071,0.1414141414141414,0.1414141414141414,False,1700.0,True
geolife,010-20080921224934-0,21,60,109,2716,1,5,545.0,1980.0,5.0,0.27525252525252525,0.05505050505050505,0.05505050505050505,False,1871.0,True
geolife,010-20080921224934-0,22,60,12,2816,1,5,60.0,1980.0,5.0,0.030303030303030304,0.006060606060606061,0.006060606060606061,False,1968.0,True
geolife,010-20080921224934-0,23,60,12,2816,1,5,60.0,1980.0,5.0,0.030303030303030304,0.006060606060606061,0.006060606060606061,False,1968.0,True
geolife,010-20080921224934-0,24,60,121,2916,1,5,605.0,1980.0,5.0,0.3055555555555556,0.061111111111111116,0.06111111111111111,False,1859.0,True
geolife,010-20080921224934-0,25,60,6,3016,1,5,30.0,1980.0,5.0,0.015151515151515152,0.0030303030303030303,0.0030303030303030303,True,1974.0,True
geolife,010-20080921224934-0,26,60,50,3016,1,5,250.0,1980.0,5.0,0.12626262626262627,0.025252525252525256,0.025252525252525252,False,1930.0,True
geolife,010-20080921224934-0,27,60,71,3016,1,5,355.0,1980.0,5.0,0.17929292929292928,0.035858585858585854,0.03585858585858586,False,1909.0,True
geolife,010-20080921224934-0,28,60,23,3116,1,5,115.0,1980.0,5.0,0.05808080808080808,0.011616161616161616,0.011616161616161616,False,1957.0,True
geolife,010-20080921224934-0,29,60,339,3116,1,5,1695.0,1980.0,5.0,0.8560606060606061,0.1712121212121212,0.1712121212121212,False,1641.0,True
geolife,010-20080921224934-0,30,60,373,3416,1,5,1865.0,1980.0,5.0,0.9419191919191919,0.18838383838383838,0.18838383838383838,False,1607.0,True
geolife,010-20080921224934-0,31,60,158,3816,1,5,790.0,1980.0,5.0,0.398989898989899,0.0797979797979798,0.0797979797979798,False,1822.0,True
geolife,010-20080921224934-0,32,60,45,4016,1,5,225.0,1980.0,5.0,0.11363636363636363,0.022727272727272728,0.022727272727272728,False,1935.0,True
geolife,010-20080921224934-0,33,60,100,4016,1,5,500.0,1980.0,5.0,0.25252525252525254,0.05050505050505051,0.050505050505050504,False,1880.0,True
geolife,010-20080921224934-0,34,55,262,4116,1,5,1310.0,1815.0,5.0,0.721763085399449,0.1443526170798898,0.1443526170798898,False,1553.0,True
geolife,010-20080922111517-0,0,60,578,4315,1,5,2890.0,1980.0,5.0,1.4595959595959596,0.2919191919191919,0.2919191919191919,False,1402.0,True
geolife,010-20080922111517-0,1,60,479,3716,1,5,2395.0,1980.0,5.0,1.2095959595959596,0.24191919191919192,0.24191919191919192,False,1501.0,True
geolife,010-20080922111517-0,2,60,637,3316,1,5,3185.0,1980.0,5.0,1.6085858585858586,0.32171717171717173,0.32171717171717173,False,1343.0,True
geolife,010-20080922111517-0,3,60,132,2616,1,5,660.0,1980.0,5.0,0.3333333333333333,0.06666666666666667,0.06666666666666667,False,1848.0,True
geolife,010-20080922111517-0,4,60,487,2516,1,5,2435.0,1980.0,5.0,1.22979797979798,0.245959595959596,0.24595959595959596,False,1493.0,True
geolife,010-20080922111517-0,5,60,91,2016,1,5,455.0,1980.0,5.0,0.2297979797979798,0.045959595959595964,0.04595959595959596,False,1889.0,True
geolife,010-20080922111517-0,6,60,797,1916,1,5,3985.0,1980.0,5.0,2.0126262626262625,0.4025252525252525,0.4025252525252525,False,1183.0,True
geolife,010-20080922111517-0,7,60,18,1116,2,3,54.0,1980.0,5.0,0.02727272727272727,0.005454545454545454,0.00909090909090909,False,1962.0,True
geolife,010-20080922111517-0,8,60,339,1116,2,3,1017.0,1980.0,5.0,0.5136363636363637,0.10272727272727274,0.1712121212121212,False,1641.0,True
geolife,010-20080922111517-0,9,60,570,816,2,3,1710.0,1980.0,5.0,0.8636363636363636,0.17272727272727273,0.2878787878787879,False,1410.0,True
geolife,010-20080922111517-0,10,60,666,417,2,3,1998.0,1980.0,5.0,1.009090909090909,0.2018181818181818,0.33636363636363636,False,1314.0,True
geolife,010-20080922111517-0,11,27,203,219,2,3,609.0,891.0,5.0,0.6835016835016835,0.1367003367003367,0.22783389450056116,False,688.0,True
geolife,010-20080922234926-0,0,60,120,417,2,3,360.0,1980.0,5.0,0.18181818181818182,0.03636363636363636,0.06060606060606061,False,1860.0,True
geolife,010-20080922234926-0,1,60,42,416,2,3,126.0,1980.0,5.0,0.06363636363636363,0.012727272727272726,0.021212121212121213,False,1938.0,True
geolife,010-20080922234926-0,2,60,111,416,2,3,333.0,1980.0,5.0,0.16818181818181818,0.03363636363636364,0.05606060606060606,False,1869.0,True
geolife,010-20080922234926-0,3,60,40,616,2,3,120.0,1980.0,5.0,0.06060606060606061,0.012121212121212121,0.020202020202020204,False,1940.0,True
geolife,010-20080922234926-0,4,60,30,616,2,3,90.0,1980.0,5.0,0.045454545454545456,0.00909090909090909,0.015151515151515152,False,1950.0,True
geolife,010-20080922234926-0,5,60,107,616,2,3,321.0,1980.0,5.0,0.1621212121212121,0.032424242424242425,0.05404040404040404,False,1873.0,True
geolife,010-20080922234926-0,6,60,53,716,2,3,159.0,1980.0,5.0,0.0803030303030303,0.01606060606060606,0.026767676767676767,False,1927.0,True
geolife,010-20080922234926-0,7,60,7,816,2,3,21.0,1980.0,5.0,0.010606060606060607,0.0021212121212121214,0.0035353535353535356,True,1973.0,True
geolife,010-20080922234926-0,8,60,7,816,2,3,21.0,1980.0,5.0,0.010606060606060607,0.0021212121212121214,0.0035353535353535356,True,1973.0,True
geolife,010-20080922234926-0,9,60,8,816,2,3,24.0,1980.0,5.0,0.012121212121212121,0.0024242424242424242,0.00404040404040404,True,1972.0,True
geolife,010-20080922234926-0,10,60,179,816,2,3,537.0,1980.0,5.0,0.27121212121212124,0.054242424242424245,0.0904040404040404,False,1801.0,True
geolife,010-20080922234926-0,11,60,3,1016,2,3,9.0,1980.0,5.0,0.004545454545454545,0.0009090909090909091,0.0015151515151515152,True,1977.0,True
geolife,010-20080922234926-0,12,60,0,1016,2,3,0.0,1980.0,5.0,0.0,0.0,0.0,True,1980.0,True
geolife,010-20080922234926-0,13,60,4,1016,2,3,12.0,1980.0,5.0,0.006060606060606061,0.0012121212121212121,0.00202020202020202,True,1976.0,True
geolife,010-20080922234926-0,14,60,17,1016,2,3,51.0,1980.0,5.0,0.025757575757575757,0.005151515151515152,0.008585858585858586,False,1963.0,True
geolife,010-20080922234926-0,15,60,519,1016,2,3,1557.0,1980.0,5.0,0.7863636363636364,0.1572727272727273,0.26212121212121214,False,1461.0,True
geolife,010-20080922234926-0,16,60,84,1516,1,5,420.0,1980.0,5.0,0.21212121212121213,0.04242424242424243,0.04242424242424243,False,1896.0,True
geolife,010-20080922234926-0,17,60,77,1616,1,5,385.0,1980.0,5.0,0.19444444444444445,0.03888888888888889,0.03888888888888889,False,1903.0,True
geolife,010-20080922234926-0,18,60,140,1716,1,5,700.0,1980.0,5.0,0.35353535353535354,0.0707070707070707,0.0707070707070707,False,1840.0,True
geolife,010-20080922234926-0,19,60,45,1816,1,5,225.0,1980.0,5.0,0.11363636363636363,0.022727272727272728,0.022727272727272728,False,1935.0,True
geolife,010-20080922234926-0,20,60,62,1816,1,5,310.0,1980.0,5.0,0.15656565656565657,0.031313131313131314,0.031313131313131314,False,1918.0,True
geolife,010-20080922234926-0,21,60,460,1916,1,5,2300.0,1980.0,5.0,1.1616161616161615,0.23232323232323232,0.23232323232323232,False,1520.0,True
geolife,010-20080922234926-0,22,60,525,2416,1,5,2625.0,1980.0,5.0,1.3257575757575757,0.26515151515151514,0.26515151515151514,False,1455.0,True
geolife,010-20080922234926-0,23,60,12,2916,1,5,60.0,1980.0,5.0,0.030303030303030304,0.006060606060606061,0.006060606060606061,False,1968.0,True
geolife,010-20080922234926-0,24,60,12,2916,1,5,60.0,1980.0,5.0,0.030303030303030304,0.006060606060606061,0.006060606060606061,False,1968.0,True
geolife,010-20080922234926-0,25,60,114,2916,1,5,570.0,1980.0,5.0,0.2878787878787879,0.05757575757575758,0.05757575757575758,False,1866.0,True
geolife,010-20080922234926-0,26,60,1,3016,1,5,5.0,1980.0,5.0,0.0025252525252525255,0.000505050505050505,0.000505050505050505,True,1979.0,True
geolife,010-20080922234926-0,27,60,3,3016,1,5,15.0,1980.0,5.0,0.007575757575757576,0.0015151515151515152,0.0015151515151515152,True,1977.0,True
geolife,010-20080922234926-0,28,60,662,3016,1,5,3310.0,1980.0,5.0,1.6717171717171717,0.33434343434343433,0.33434343434343433,False,1318.0,True
geolife,010-20080922234926-0,29,60,26,3716,1,5,130.0,1980.0,5.0,0.06565656565656566,0.013131313131313133,0.013131313131313131,False,1954.0,True
geolife,010-20080922234926-0,30,60,120,3716,1,5,600.0,1980.0,5.0,0.30303030303030304,0.06060606060606061,0.06060606060606061,False,1860.0,True
geolife,010-20080922234926-0,31,60,218,3816,1,5,1090.0,1980.0,5.0,0.5505050505050505,0.1101010101010101,0.1101010101010101,False,1762.0,True
geolife,010-20080922234926-0,32,60,142,4016,1,5,710.0,1980.0,5.0,0.35858585858585856,0.07171717171717171,0.07171717171717172,False,1838.0,True
geolife,010-20080922234926-0,33,60,20,4216,1,5,100.0,1980.0,5.0,0.050505050505050504,0.0101010101010101,0.010101010101010102,False,1960.0,True
geolife,010-20080922234926-0,34,55,158,4216,1,5,790.0,1815.0,5.0,0.43526170798898073,0.08705234159779615,0.08705234159779614,False,1657.0,True
geolife,010-20080923121817-0,0,60,532,4315,1,5,2660.0,1980.0,5.0,1.3434343434343434,0.2686868686868687,0.2686868686868687,False,1448.0,True
geolife,010-20080923121817-0,1,60,616,3816,1,5,3080.0,1980.0,5.0,1.5555555555555556,0.3111111111111111,0.3111111111111111,False,1364.0,True
geolife,010-20080923121817-0,2,60,16,3216,1,5,80.0,1980.0,5.0,0.04040404040404041,0.00808080808080808,0.00808080808080808,False,1964.0,True
geolife,010-20080923121817-0,3,60,479,3216,1,5,2395.0,1980.0,5.0,1.2095959595959596,0.24191919191919192,0.24191919191919192,False,1501.0,True
geolife,010-20080923121817-0,4,60,559,2716,1,5,2795.0,1980.0,5.0,1.4116161616161615,0.2823232323232323,0.2823232323232323,False,1421.0,True
geolife,010-20080923121817-0,5,60,852,2216,1,5,4260.0,1980.0,5.0,2.1515151515151514,0.4303030303030303,0.4303030303030303,False,1128.0,True
geolife,010-20080923121817-0,6,60,171,1316,1,5,855.0,1980.0,5.0,0.4318181818181818,0.08636363636363636,0.08636363636363636,False,1809.0,True
geolife,010-20080923121817-0,7,60,225,1116,2,3,675.0,1980.0,5.0,0.3409090909090909,0.06818181818181818,0.11363636363636363,False,1755.0,True
geolife,010-20080923121817-0,8,60,366,916,2,3,1098.0,1980.0,5.0,0.5545454545454546,0.11090909090909092,0.18484848484848485,False,1614.0,True
geolife,010-20080923121817-0,9,60,420,616,2,3,1260.0,1980.0,5.0,0.6363636363636364,0.12727272727272726,0.21212121212121213,False,1560.0,True
geolife,010-20080923121817-0,10,60,638,517,2,3,1914.0,1980.0,5.0,0.9666666666666667,0.19333333333333333,0.32222222222222224,False,1342.0,True
geolife,010-20080923121817-0,11,30,221,220,2,3,663.0,990.0,5.0,0.6696969696969697,0.13393939393939394,0.22323232323232323,False,769.0,True
geolife,010-20080923231456-1,0,60,147,417,2,3,441.0,1980.0,5.0,0.22272727272727272,0.04454545454545454,0.07424242424242425,False,1833.0,True
geolife,010-20080923231456-1,1,60,10,416,2,3,30.0,1980.0,5.0,0.015151515151515152,0.0030303030303030303,0.005050505050505051,True,1970.0,True
geolife,010-20080923231456-1,2,60,10,416,2,3,30.0,1980.0,5.0,0.015151515151515152,0.0030303030303030303,0.005050505050505051,True,1970.0,True
geolife,010-20080923231456-1,3,60,39,416,2,3,117.0,1980.0,5.0,0.05909090909090909,0.011818181818181818,0.019696969696969695,False,1941.0,True
geolife,010-20080923231456-1,4,60,33,516,2,3,99.0,1980.0,5.0,0.05,0.01,0.016666666666666666,False,1947.0,True
geolife,010-20080923231456-1,5,60,53,516,2,3,159.0,1980.0,5.0,0.0803030303030303,0.01606060606060606,0.026767676767676767,False,1927.0,True
geolife,010-20080923231456-1,6,60,5,516,2,3,15.0,1980.0,5.0,0.007575757575757576,0.0015151515151515152,0.0025252525252525255,True,1975.0,True
geolife,010-20080923231456-1,7,60,4,516,2,3,12.0,1980.0,5.0,0.006060606060606061,0.0012121212121212121,0.00202020202020202,True,1976.0,True
geolife,010-20080923231456-1,8,60,5,516,2,3,15.0,1980.0,5.0,0.007575757575757576,0.0015151515151515152,0.0025252525252525255,True,1975.0,True
geolife,010-20080923231456-1,9,60,5,616,2,3,15.0,1980.0,5.0,0.007575757575757576,0.0015151515151515152,0.0025252525252525255,True,1975.0,True
geolife,010-20080923231456-1,10,60,5,616,2,3,15.0,1980.0,5.0,0.007575757575757576,0.0015151515151515152,0.0025252525252525255,True,1975.0,True
geolife,010-20080923231456-1,11,60,4,616,2,3,12.0,1980.0,5.0,0.006060606060606061,0.0012121212121212121,0.00202020202020202,True,1976.0,True
geolife,010-20080923231456-1,12,60,17,616,2,3,51.0,1980.0,5.0,0.025757575757575757,0.005151515151515152,0.008585858585858586,False,1963.0,True
geolife,010-20080923231456-1,13,60,30,616,2,3,90.0,1980.0,5.0,0.045454545454545456,0.00909090909090909,0.015151515151515152,False,1950.0,True
geolife,010-20080923231456-1,14,60,27,616,2,3,81.0,1980.0,5.0,0.04090909090909091,0.008181818181818182,0.013636363636363636,False,1953.0,True
geolife,010-20080923231456-1,15,60,24,616,2,3,72.0,1980.0,5.0,0.03636363636363636,0.007272727272727273,0.012121212121212121,False,1956.0,True
geolife,010-20080923231456-1,16,60,2,716,2,3,6.0,1980.0,5.0,0.0030303030303030303,0.0006060606060606061,0.00101010101010101,True,1978.0,True
geolife,010-20080923231456-1,17,60,0,716,2,3,0.0,1980.0,5.0,0.0,0.0,0.0,True,1980.0,True
geolife,010-20080923231456-1,18,60,48,716,2,3,144.0,1980.0,5.0,0.07272727272727272,0.014545454545454545,0.024242424242424242,False,1932.0,True
geolife,010-20080923231456-1,19,60,63,716,2,3,189.0,1980.0,5.0,0.09545454545454546,0.019090909090909092,0.031818181818181815,False,1917.0,True
geolife,010-20080923231456-1,20,60,12,816,2,3,36.0,1980.0,5.0,0.01818181818181818,0.0036363636363636364,0.006060606060606061,False,1968.0,True
geolife,010-20080923231456-1,21,60,166,816,2,3,498.0,1980.0,5.0,0.2515151515151515,0.05030303030303031,0.08383838383838384,False,1814.0,True
geolife,010-20080923231456-1,22,60,6,916,2,3,18.0,1980.0,5.0,0.00909090909090909,0.0018181818181818182,0.0030303030303030303,True,1974.0,True
geolife,010-20080923231456-1,23,60,12,916,2,3,36.0,1980.0,5.0,0.01818181818181818,0.0036363636363636364,0.006060606060606061,False,1968.0,True
geolife,010-20080923231456-1,24,60,16,916,2,3,48.0,1980.0,5.0,0.024242424242424242,0.0048484848484848485,0.00808080808080808,False,1964.0,True
geolife,010-20080923231456-1,25,60,419,1016,2,3,1257.0,1980.0,5.0,0.6348484848484849,0.12696969696969698,0.21161616161616162,False,1561.0,True
geolife,010-20080923231456-1,26,60,81,1416,1,5,405.0,1980.0,5.0,0.20454545454545456,0.04090909090909091,0.04090909090909091,False,1899.0,True
geolife,010-20080923231456-1,27,60,96,1516,1,5,480.0,1980.0,5.0,0.24242424242424243,0.048484848484848485,0.048484848484848485,False,1884.0,True
geolife,010-20080923231456-1,28,60,64,1516,1,5,320.0,1980.0,5.0,0.16161616161616163,0.03232323232323232,0.03232323232323232,False,1916.0,True
geolife,010-20080923231456-1,29,60,67,1616,1,5,335.0,1980.0,5.0,0.1691919191919192,0.03383838383838384,0.03383838383838384,False,1913.0,True
geolife,010-20080923231456-1,30,60,89,1716,1,5,445.0,1980.0,5.0,0.22474747474747475,0.04494949494949495,0.04494949494949495,False,1891.0,True
geolife,010-20080923231456-1,31,60,72,1816,1,5,360.0,1980.0,5.0,0.18181818181818182,0.03636363636363636,0.03636363636363636,False,1908.0,True
geolife,010-20080923231456-1,32,60,63,1816,1,5,315.0,1980.0,5.0,0.1590909090909091,0.031818181818181815,0.031818181818181815,False,1917.0,True
geolife,010-20080923231456-1,33,60,484,1916,1,5,2420.0,1980.0,5.0,1.2222222222222223,0.24444444444444446,0.24444444444444444,False,1496.0,True
geolife,010-20080923231456-1,34,60,221,2416,1,5,1105.0,1980.0,5.0,0.5580808080808081,0.11161616161616161,0.11161616161616161,False,1759.0,True
geolife,010-20080923231456-1,35,60,140,2616,1,5,700.0,1980.0,5.0,0.35353535353535354,0.0707070707070707,0.0707070707070707,False,1840.0,True
geolife,010-20080923231456-1,36,60,32,2716,1,5,160.0,1980.0,5.0,0.08080808080808081,0.01616161616161616,0.01616161616161616,False,1948.0,True
geolife,010-20080923231456-1,37,60,19,2816,1,5,95.0,1980.0,5.0,0.047979797979797977,0.009595959595959595,0.009595959595959595,False,1961.0,True
geolife,010-20080923231456-1,38,60,32,2816,1,5,160.0,1980.0,5.0,0.08080808080808081,0.01616161616161616,0.01616161616161616,False,1948.0,True
geolife,010-20080923231456-1,39,60,11,2816,1,5,55.0,1980.0,5.0,0.027777777777777776,0.005555555555555555,0.005555555555555556,False,1969.0,True
geolife,010-20080923231456-1,40,60,65,2816,1,5,325.0,1980.0,5.0,0.16414141414141414,0.03282828282828283,0.03282828282828283,False,1915.0,True
geolife,010-20080923231456-1,41,60,19,2916,1,5,95.0,1980.0,5.0,0.047979797979797977,0.009595959595959595,0.009595959595959595,False,1961.0,True
geolife,010-20080923231456-1,42,60,10,2916,1,5,50.0,1980.0,5.0,0.025252525252525252,0.00505050505050505,0.005050505050505051,True,1970.0,True
geolife,010-20080923231456-1,43,60,94,2916,1,5,470.0,1980.0,5.0,0.23737373737373738,0.047474747474747475,0.047474747474747475,False,1886.0,True
geolife,010-20080923231456-1,44,60,7,3016,1,5,35.0,1980.0,5.0,0.017676767676767676,0.003535353535353535,0.0035353535353535356,True,1973.0,True
geolife,010-20080923231456-1,45,60,58,3016,1,5,290.0,1980.0,5.0,0.14646464646464646,0.029292929292929294,0.029292929292929294,False,1922.0,True
geolife,010-20080923231456-1,46,60,426,3116,1,5,2130.0,1980.0,5.0,1.0757575757575757,0.21515151515151515,0.21515151515151515,False,1554.0,True
geolife,010-20080923231456-1,47,60,40,3516,1,5,200.0,1980.0,5.0,0.10101010101010101,0.0202020202020202,0.020202020202020204,False,1940.0,True
geolife,010-20080923231456-1,48,60,12,3516,1,5,60.0,1980.0,5.0,0.030303030303030304,0.006060606060606061,0.006060606060606061,False,1968.0,True
geolife,010-20080923231456-1,49,60,138,3516,1,5,690.0,1980.0,5.0,0.3484848484848485,0.0696969696969697,0.0696969696969697,False,1842.0,True
geolife,010-20080923231456-1,50,60,29,3716,1,5,145.0,1980.0,5.0,0.07323232323232323,0.014646464646464647,0.014646464646464647,False,1951.0,True
geolife,010-20080923231456-1,51,60,103,3716,1,5,515.0,1980.0,5.0,0.2601010101010101,0.05202020202020202,0.05202020202020202,False,1877.0,True
geolife,010-20080923231456-1,52,60,78,3816,1,5,390.0,1980.0,5.0,0.19696969696969696,0.03939393939393939,0.03939393939393939,False,1902.0,True
geolife,010-20080923231456-1,53,60,62,3816,1,5,310.0,1980.0,5.0,0.15656565656565657,0.031313131313131314,0.031313131313131314,False,1918.0,True
geolife,010-20080923231456-1,54,60,178,3916,1,5,890.0,1980.0,5.0,0.4494949494949495,0.0898989898989899,0.0898989898989899,False,1802.0,True
geolife,010-20080923231456-1,55,60,122,4016,1,5,610.0,1980.0,5.0,0.30808080808080807,0.06161616161616161,0.06161616161616162,False,1858.0,True
geolife,010-20080923231456-1,56,60,167,4116,1,5,835.0,1980.0,5.0,0.4217171717171717,0.08434343434343435,0.08434343434343435,False,1813.0,True
geolife,010-20080923231456-1,57,41,80,4216,1,5,400.0,1353.0,5.0,0.29563932002956395,0.059127864005912786,0.059127864005912786,False,1273.0,True
geolife,010-20080924113459-1,0,60,489,4315,1,5,2445.0,1980.0,5.0,1.2348484848484849,0.24696969696969698,0.24696969696969698,False,1491.0,True
geolife,010-20080924113459-1,1,60,72,3916,1,5,360.0,1980.0,5.0,0.18181818181818182,0.03636363636363636,0.03636363636363636,False,1908.0,True
geolife,010-20080924113459-1,2,60,605,3816,1,5,3025.0,1980.0,5.0,1.5277777777777777,0.3055555555555555,0.3055555555555556,False,1375.0,True
