dataset,period_id,alpha,fallback_rate_cents_per_m,max_zone_rate_cents_per_m,exact_fee_cents,strategic_min_fee_cents,withholding_gain,declared_outage_intervals,honest_penalty_all_outage,honest_penalty_moving_outage,n_intervals,n_all_outage_edges,n_moving_outage_edges,honest_outage_source,all_outage_movement_ratio,all_outage_dwell_edge_share,moving_outage_movement_ratio,moving_outage_dwell_edge_share,speed_bound_ok
geolife,010-20080922111517-0,0.8,4.0,5.0,21393.0,21393.0,0.0,0,,,12,0,0,none,,,,,True
geolife,010-20080922111517-0,0.9,4.5,5.0,21393.0,21393.0,0.0,0,,,12,0,0,none,,,,,True
geolife,010-20080922111517-0,1.0,5.0,5.0,21393.0,21393.0,0.0,0,,,12,0,0,none,,,,,True
geolife,010-20080922111517-0,1.1,5.5,5.0,21393.0,21393.0,0.0,0,,,12,0,0,none,,,,,True
geolife,010-20080922111517-0,1.2,6.0,5.0,21393.0,21393.0,0.0,0,,,12,0,0,none,,,,,True
geolife,010-20080922234926-0,0.1,0.5,5.0,18146.0,12214.0,0.32690400088173704,5,,,35,0,0,none,,,,,True
geolife,010-20080922234926-0,0.2,1.0,5.0,18146.0,15851.0,0.1264741540835446,3,,,35,0,0,none,,,,,True
geolife,010-20080922234926-0,0.3,1.5,5.0,18146.0,17806.0,0.01873691171608068,1,,,35,0,0,none,,,,,True
geolife,010-20080922234926-0,0.4,2.0,5.0,18146.0,18146.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080922234926-0,0.5,2.5,5.0,18146.0,18146.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080922234926-0,0.6,3.0,5.0,18146.0,18146.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080922234926-0,0.7,3.5,5.0,18146.0,18146.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080922234926-0,0.8,4.0,5.0,18146.0,18146.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080922234926-0,0.9,4.5,5.0,18146.0,18146.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080922234926-0,1.0,5.0,5.0,18146.0,18146.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080922234926-0,1.1,5.5,5.0,18146.0,18146.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080922234926-0,1.2,6.0,5.0,18146.0,18146.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080923121817-0,0.1,0.5,5.0,21735.0,10025.0,0.5387623648493214,9,,,12,0,0,none,,,,,True
geolife,010-20080923121817-0,0.2,1.0,5.0,21735.0,16445.0,0.24338624338624337,5,,,12,0,0,none,,,,,True
geolife,010-20080923121817-0,0.3,1.5,5.0,21735.0,20335.0,0.0644122383252818,2,,,12,0,0,none,,,,,True
geolife,010-20080923121817-0,0.4,2.0,5.0,21735.0,21435.0,0.013802622498274672,1,,,12,0,0,none,,,,,True
geolife,010-20080923121817-0,0.5,2.5,5.0,21735.0,21735.0,0.0,0,,,12,0,0,none,,,,,True
geolife,010-20080923121817-0,0.6,3.0,5.0,21735.0,21735.0,0.0,0,,,12,0,0,none,,,,,True
geolife,010-20080923121817-0,0.7,3.5,5.0,21735.0,21735.0,0.0,0,,,12,0,0,none,,,,,True
geolife,010-20080923121817-0,0.8,4.0,5.0,21735.0,21735.0,0.0,0,,,12,0,0,none,,,,,True
geolife,010-20080923121817-0,0.9,4.5,5.0,21735.0,21735.0,0.0,0,,,12,0,0,none,,,,,True
geolife,010-20080923121817-0,1.0,5.0,5.0,21735.0,21735.0,0.0,0,,,12,0,0,none,,,,,True
geolife,010-20080923121817-0,1.1,5.5,5.0,21735.0,21735.0,0.0,0,,,12,0,0,none,,,,,True
geolife,010-20080923121817-0,1.2,6.0,5.0,21735.0,21735.0,0.0,0,,,12,0,0,none,,,,,True
geolife,010-20080923231456-1,0.1,0.5,5.0,19281.0,16329.0,0.15310409211140502,4,,,58,0,0,none,,,,,True
geolife,010-20080923231456-1,0.2,1.0,5.0,19281.0,18691.0,0.030600072610341787,2,,,58,0,0,none,,,,,True
geolife,010-20080923231456-1,0.3,1.5,5.0,19281.0,19281.0,0.0,0,,,58,0,0,none,,,,,True
geolife,010-20080923231456-1,0.4,2.0,5.0,19281.0,19281.0,0.0,0,,,58,0,0,none,,,,,True
geolife,010-20080923231456-1,0.5,2.5,5.0,19281.0,19281.0,0.0,0,,,58,0,0,none,,,,,True
geolife,010-20080923231456-1,0.6,3.0,5.0,19281.0,19281.0,0.0,0,,,58,0,0,none,,,,,True
geolife,010-20080923231456-1,0.7,3.5,5.0,19281.0,19281.0,0.0,0,,,58,0,0,none,,,,,True
geolife,010-20080923231456-1,0.8,4.0,5.0,19281.0,19281.0,0.0,0,,,58,0,0,none,,,,,True
geolife,010-20080923231456-1,0.9,4.5,5.0,19281.0,19281.0,0.0,0,,,58,0,0,none,,,,,True
geolife,010-20080923231456-1,1.0,5.0,5.0,19281.0,19281.0,0.0,0,,,58,0,0,none,,,,,True
geolife,010-20080923231456-1,1.1,5.5,5.0,19281.0,19281.0,0.0,0,,,58,0,0,none,,,,,True
geolife,010-20080923231456-1,1.2,6.0,5.0,19281.0,19281.0,0.0,0,,,58,0,0,none,,,,,True
geolife,010-20080924113459-1,0.1,0.5,5.0,21973.0,10518.0,0.5213216219906248,10,,,14,0,0,none,,,,,True
geolife,010-20080924113459-1,0.2,1.0,5.0,21973.0,17548.0,0.2013835161334365,5,,,14,0,0,none,,,,,True
geolife,010-20080924113459-1,0.3,1.5,5.0,21973.0,21388.0,0.026623583488827197,3,,,14,0,0,none,,,,,True
geolife,010-20080924113459-1,0.4,2.0,5.0,21973.0,21973.0,0.0,0,,,14,0,0,none,,,,,True
geolife,010-20080924113459-1,0.5,2.5,5.0,21973.0,21973.0,0.0,0,,,14,0,0,none,,,,,True
geolife,010-20080924113459-1,0.6,3.0,5.0,21973.0,21973.0,0.0,0,,,14,0,0,none,,,,,True
geolife,010-20080924113459-1,0.7,3.5,5.0,21973.0,21973.0,0.0,0,,,14,0,0,none,,,,,True
geolife,010-20080924113459-1,0.8,4.0,5.0,21973.0,21973.0,0.0,0,,,14,0,0,none,,,,,True
geolife,010-20080924113459-1,0.9,4.5,5.0,21973.0,21973.0,0.0,0,,,14,0,0,none,,,,,True
geolife,010-20080924113459-1,1.0,5.0,5.0,21973.0,21973.0,0.0,0,,,14,0,0,none,,,,,True
geolife,010-20080924113459-1,1.1,5.5,5.0,21973.0,21973.0,0.0,0,,,14,0,0,none,,,,,True
geolife,010-20080924113459-1,1.2,6.0,5.0,21973.0,21973.0,0.0,0,,,14,0,0,none,,,,,True
geolife,010-20080924231334-1,0.1,0.5,5.0,17750.0,12931.5,0.2714647887323944,8,,,26,0,0,none,,,,,True
geolife,010-20080924231334-1,0.2,1.0,5.0,17750.0,16670.0,0.06084507042253521,1,,,26,0,0,none,,,,,True
geolife,010-20080924231334-1,0.3,1.5,5.0,17750.0,17660.0,0.0050704225352112674,1,,,26,0,0,none,,,,,True
geolife,010-20080924231334-1,0.4,2.0,5.0,17750.0,17750.0,0.0,0,,,26,0,0,none,,,,,True
geolife,010-20080924231334-1,0.5,2.5,5.0,17750.0,17750.0,0.0,0,,,26,0,0,none,,,,,True
geolife,010-20080924231334-1,0.6,3.0,5.0,17750.0,17750.0,0.0,0,,,26,0,0,none,,,,,True
geolife,010-20080924231334-1,0.7,3.5,5.0,17750.0,17750.0,0.0,0,,,26,0,0,none,,,,,True
geolife,010-20080924231334-1,0.8,4.0,5.0,17750.0,17750.0,0.0,0,,,26,0,0,none,,,,,True
geolife,010-20080924231334-1,0.9,4.5,5.0,17750.0,17750.0,0.0,0,,,26,0,0,none,,,,,True
geolife,010-20080924231334-1,1.0,5.0,5.0,17750.0,17750.0,0.0,0,,,26,0,0,none,,,,,True
geolife,010-20080924231334-1,1.1,5.5,5.0,17750.0,17750.0,0.0,0,,,26,0,0,none,,,,,True
geolife,010-20080924231334-1,1.2,6.0,5.0,17750.0,17750.0,0.0,0,,,26,0,0,none,,,,,True
geolife,010-20080925104204-0,0.1,0.5,5.0,21492.0,12660.0,0.4109436069235064,8,,,19,0,0,none,,,,,True
geolife,010-20080925104204-0,0.2,1.0,5.0,21492.0,18647.0,0.1323748371487065,4,,,19,0,0,none,,,,,True
geolife,010-20080925104204-0,0.3,1.5,5.0,21492.0,21062.0,0.020007444630560207,1,,,19,0,0,none,,,,,True
geolife,010-20080925104204-0,0.4,2.0,5.0,21492.0,21492.0,0.0,0,,,19,0,0,none,,,,,True
geolife,010-20080925104204-0,0.5,2.5,5.0,21492.0,21492.0,0.0,0,,,19,0,0,none,,,,,True
geolife,010-20080925104204-0,0.6,3.0,5.0,21492.0,21492.0,0.0,0,,,19,0,0,none,,,,,True
geolife,010-20080925104204-0,0.7,3.5,5.0,21492.0,21492.0,0.0,0,,,19,0,0,none,,,,,True
geolife,010-20080925104204-0,0.8,4.0,5.0,21492.0,21492.0,0.0,0,,,19,0,0,none,,,,,True
geolife,010-20080925104204-0,0.9,4.5,5.0,21492.0,21492.0,0.0,0,,,19,0,0,none,,,,,True
geolife,010-20080925104204-0,1.0,5.0,5.0,21492.0,21492.0,0.0,0,,,19,0,0,none,,,,,True
geolife,010-20080925104204-0,1.1,5.5,5.0,21492.0,21492.0,0.0,0,,,19,0,0,none,,,,,True
geolife,010-20080925104204-0,1.2,6.0,5.0,21492.0,21492.0,0.0,0,,,19,0,0,none,,,,,True
geolife,010-20080925233430-0,0.1,0.5,5.0,18103.0,13343.0,0.2629398442247141,7,,,31,0,0,none,,,,,True
geolife,010-20080925233430-0,0.2,1.0,5.0,18103.0,16943.0,0.06407777716400596,2,,,31,0,0,none,,,,,True
geolife,010-20080925233430-0,0.3,1.5,5.0,18103.0,18103.0,0.0,0,,,31,0,0,none,,,,,True
geolife,010-20080925233430-0,0.4,2.0,5.0,18103.0,18103.0,0.0,0,,,31,0,0,none,,,,,True
geolife,010-20080925233430-0,0.5,2.5,5.0,18103.0,18103.0,0.0,0,,,31,0,0,none,,,,,True
geolife,010-20080925233430-0,0.6,3.0,5.0,18103.0,18103.0,0.0,0,,,31,0,0,none,,,,,True
geolife,010-20080925233430-0,0.7,3.5,5.0,18103.0,18103.0,0.0,0,,,31,0,0,none,,,,,True
geolife,010-20080925233430-0,0.8,4.0,5.0,18103.0,18103.0,0.0,0,,,31,0,0,none,,,,,True
geolife,010-20080925233430-0,0.9,4.5,5.0,18103.0,18103.0,0.0,0,,,31,0,0,none,,,,,True
geolife,010-20080925233430-0,1.0,5.0,5.0,18103.0,18103.0,0.0,0,,,31,0,0,none,,,,,True
geolife,010-20080925233430-0,1.1,5.5,5.0,18103.0,18103.0,0.0,0,,,31,0,0,none,,,,,True
geolife,010-20080925233430-0,1.2,6.0,5.0,18103.0,18103.0,0.0,0,,,31,0,0,none,,,,,True
geolife,010-20080926105402-0,0.1,0.5,5.0,21916.0,10598.5,0.5164035407921154,9,,,15,0,0,none,,,,,True
geolife,010-20080926105402-0,0.2,1.0,5.0,21916.0,17466.0,0.20304800146012045,5,,,15,0,0,none,,,,,True
geolife,010-20080926105402-0,0.3,1.5,5.0,21916.0,20926.0,0.04517247672933017,2,,,15,0,0,none,,,,,True
geolife,010-20080926105402-0,0.4,2.0,5.0,21916.0,21916.0,0.0,0,,,15,0,0,none,,,,,True
geolife,010-20080926105402-0,0.5,2.5,5.0,21916.0,21916.0,0.0,0,,,15,0,0,none,,,,,True
geolife,010-20080926105402-0,0.6,3.0,5.0,21916.0,21916.0,0.0,0,,,15,0,0,none,,,,,True
geolife,010-20080926105402-0,0.7,3.5,5.0,21916.0,21916.0,0.0,0,,,15,0,0,none,,,,,True
geolife,010-20080926105402-0,0.8,4.0,5.0,21916.0,21916.0,0.0,0,,,15,0,0,none,,,,,True
geolife,010-20080926105402-0,0.9,4.5,5.0,21916.0,21916.0,0.0,0,,,15,0,0,none,,,,,True
geolife,010-20080926105402-0,1.0,5.0,5.0,21916.0,21916.0,0.0,0,,,15,0,0,none,,,,,True
geolife,010-20080926105402-0,1.1,5.5,5.0,21916.0,21916.0,0.0,0,,,15,0,0,none,,,,,True
geolife,010-20080926105402-0,1.2,6.0,5.0,21916.0,21916.0,0.0,0,,,15,0,0,none,,,,,True
geolife,010-20080927232235-1,0.1,0.5,5.0,16035.0,9472.5,0.4092609915809167,7,,,22,0,0,none,,,,,True
geolife,010-20080927232235-1,0.2,1.0,5.0,16035.0,13995.0,0.12722170252572498,2,,,22,0,0,none,,,,,True
geolife,010-20080927232235-1,0.3,1.5,5.0,16035.0,15562.5,0.029466791393826006,2,,,22,0,0,none,,,,,True
geolife,010-20080927232235-1,0.4,2.0,5.0,16035.0,16035.0,0.0,0,,,22,0,0,none,,,,,True
geolife,010-20080927232235-1,0.5,2.5,5.0,16035.0,16035.0,0.0,0,,,22,0,0,none,,,,,True
geolife,010-20080927232235-1,0.6,3.0,5.0,16035.0,16035.0,0.0,0,,,22,0,0,none,,,,,True
geolife,010-20080927232235-1,0.7,3.5,5.0,16035.0,16035.0,0.0,0,,,22,0,0,none,,,,,True
geolife,010-20080927232235-1,0.8,4.0,5.0,16035.0,16035.0,0.0,0,,,22,0,0,none,,,,,True
geolife,010-20080927232235-1,0.9,4.5,5.0,16035.0,16035.0,0.0,0,,,22,0,0,none,,,,,True
geolife,010-20080927232235-1,1.0,5.0,5.0,16035.0,16035.0,0.0,0,,,22,0,0,none,,,,,True
geolife,010-20080927232235-1,1.1,5.5,5.0,16035.0,16035.0,0.0,0,,,22,0,0,none,,,,,True
geolife,010-20080927232235-1,1.2,6.0,5.0,16035.0,16035.0,0.0,0,,,22,0,0,none,,,,,True
geolife,010-20081005225112-1,0.1,0.5,5.0,17388.0,16542.0,0.048654244306418216,1,,,59,0,0,none,,,,,True
geolife,010-20081005225112-1,0.2,1.0,5.0,17388.0,17388.0,0.0,0,,,59,0,0,none,,,,,True
geolife,010-20081005225112-1,0.3,1.5,5.0,17388.0,17388.0,0.0,0,,,59,0,0,none,,,,,True
geolife,010-20081005225112-1,0.4,2.0,5.0,17388.0,17388.0,0.0,0,,,59,0,0,none,,,,,True
geolife,010-20081005225112-1,0.5,2.5,5.0,17388.0,17388.0,0.0,0,,,59,0,0,none,,,,,True
geolife,010-20081005225112-1,0.6,3.0,5.0,17388.0,17388.0,0.0,0,,,59,0,0,none,,,,,True
geolife,010-20081005225112-1,0.7,3.5,5.0,17388.0,17388.0,0.0,0,,,59,0,0,none,,,,,True
geolife,010-20081005225112-1,0.8,4.0,5.0,17388.0,17388.0,0.0,0,,,59,0,0,none,,,,,True
geolife,010-20081005225112-1,0.9,4.5,5.0,17388.0,17388.0,0.0,0,,,59,0,0,none,,,,,True
geolife,010-20081005225112-1,1.0,5.0,5.0,17388.0,17388.0,0.0,0,,,59,0,0,none,,,,,True
geolife,010-20081005225112-1,1.1,5.5,5.0,17388.0,17388.0,0.0,0,,,59,0,0,none,,,,,True
geolife,010-20081005225112-1,1.2,6.0,5.0,17388.0,17388.0,0.0,0,,,59,0,0,none,,,,,True
rome,rome:60:103-0-s96:p0,0.1,1.2000000000000002,12.0,18646.0,11338.800000000003,0.39189102220315336,3,0.5908827630591013,0.46133218920948205,24,5,4,derived_from_native_gap_count,0.010893246187363835,0.2,0.013605442176870748,0.0,True
rome,rome:60:103-0-s96:p0,0.2,2.4000000000000004,12.0,18646.0,16874.800000000003,0.09499088276305895,2,1.2407594122063716,0.9816582645071331,24,5,4,derived_from_native_gap_count,0.010893246187363835,0.2,0.013605442176870748,0.0,True
rome,rome:60:103-0-s96:p0,0.3,3.5999999999999996,12.0,18646.0,18646.0,0.0,0,1.8906360613536413,1.5019843398047836,24,5,4,derived_from_native_gap_count,0.010893246187363835,0.2,0.013605442176870748,0.0,True
rome,rome:60:103-0-s96:p0,0.4,4.800000000000001,12.0,18646.0,18646.0,0.0,0,2.540512710500912,2.022310415102435,24,5,4,derived_from_native_gap_count,0.010893246187363835,0.2,0.013605442176870748,0.0,True
rome,rome:60:103-0-s96:p0,0.5,6.0,12.0,18646.0,18646.0,0.0,0,3.190389359648182,2.5426364904000858,24,5,4,derived_from_native_gap_count,0.010893246187363835,0.2,0.013605442176870748,0.0,True
rome,rome:60:103-0-s96:p0,0.6,7.199999999999999,12.0,18646.0,18646.0,0.0,0,3.8402660087954517,3.0629625656977364,24,5,4,derived_from_native_gap_count,0.010893246187363835,0.2,0.013605442176870748,0.0,True
rome,rome:60:103-0-s96:p0,0.7,8.399999999999999,12.0,18646.0,18646.0,0.0,0,4.490142657942721,3.583288640995387,24,5,4,derived_from_native_gap_count,0.010893246187363835,0.2,0.013605442176870748,0.0,True
rome,rome:60:103-0-s96:p0,0.8,9.600000000000001,12.0,18646.0,18646.0,0.0,0,5.140019307089993,4.103614716293039,24,5,4,derived_from_native_gap_count,0.010893246187363835,0.2,0.013605442176870748,0.0,True
rome,rome:60:103-0-s96:p0,0.9,10.8,12.0,18646.0,18646.0,0.0,0,5.789895956237262,4.62394079159069,24,5,4,derived_from_native_gap_count,0.010893246187363835,0.2,0.013605442176870748,0.0,True
rome,rome:60:103-0-s96:p0,1.0,12.0,12.0,18646.0,18646.0,0.0,0,6.439772605384533,5.144266866888341,24,5,4,derived_from_native_gap_count,0.010893246187363835,0.2,0.013605442176870748,0.0,True
rome,rome:60:103-0-s96:p0,1.1,13.200000000000001,12.0,18646.0,18646.0,0.0,0,7.089649254531803,5.664592942185992,24,5,4,derived_from_native_gap_count,0.010893246187363835,0.2,0.013605442176870748,0.0,True
rome,rome:60:103-0-s96:p0,1.2,14.399999999999999,12.0,18646.0,18646.0,0.0,0,7.7395259036790724,6.184919017483642,24,5,4,derived_from_native_gap_count,0.010893246187363835,0.2,0.013605442176870748,0.0,True
rome,rome:60:104-0-s145:p0,0.1,1.2000000000000002,12.0,2090.0,2090.0,0.0,0,12.640574162679426,2.268325358851675,24,10,2,derived_from_native_gap_count,0.006120953489374542,0.8,0.02293202293202293,0.0,True
rome,rome:60:104-0-s145:p0,0.2,2.4000000000000004,12.0,2090.0,2090.0,0.0,0,25.960574162679432,5.072535885167465,24,10,2,derived_from_native_gap_count,0.006120953489374542,0.8,0.02293202293202293,0.0,True
rome,rome:60:104-0-s145:p0,0.3,3.5999999999999996,12.0,2090.0,2090.0,0.0,0,39.28057416267942,7.876746411483254,24,10,2,derived_from_native_gap_count,0.006120953489374542,0.8,0.02293202293202293,0.0,True
rome,rome:60:104-0-s145:p0,0.4,4.800000000000001,12.0,2090.0,2090.0,0.0,0,52.600574162679436,10.680956937799046,24,10,2,derived_from_native_gap_count,0.006120953489374542,0.8,0.02293202293202293,0.0,True
rome,rome:60:104-0-s145:p0,0.5,6.0,12.0,2090.0,2090.0,0.0,0,65.92057416267943,13.485167464114832,24,10,2,derived_from_native_gap_count,0.006120953489374542,0.8,0.02293202293202293,0.0,True
rome,rome:60:104-0-s145:p0,0.6,7.199999999999999,12.0,2090.0,2090.0,0.0,0,79.24057416267944,16.289377990430623,24,10,2,derived_from_native_gap_count,0.006120953489374542,0.8,0.02293202293202293,0.0,True
rome,rome:60:104-0-s145:p0,0.7,8.399999999999999,12.0,2090.0,2090.0,0.0,0,92.56057416267942,19.093588516746408,24,10,2,derived_from_native_gap_count,0.006120953489374542,0.8,0.02293202293202293,0.0,True
rome,rome:60:104-0-s145:p0,0.8,9.600000000000001,12.0,2090.0,2090.0,0.0,0,105.88057416267945,21.897799043062204,24,10,2,derived_from_native_gap_count,0.006120953489374542,0.8,0.02293202293202293,0.0,True
rome,rome:60:104-0-s145:p0,0.9,10.8,12.0,2090.0,2090.0,0.0,0,119.20057416267943,24.70200956937799,24,10,2,derived_from_native_gap_count,0.006120953489374542,0.8,0.02293202293202293,0.0,True
rome,rome:60:104-0-s145:p0,1.0,12.0,12.0,2090.0,2090.0,0.0,0,132.52057416267942,27.50622009569378,24,10,2,derived_from_native_gap_count,0.006120953489374542,0.8,0.02293202293202293,0.0,True
rome,rome:60:104-0-s145:p0,1.1,13.200000000000001,12.0,2090.0,2090.0,0.0,0,145.84057416267945,30.31043062200957,24,10,2,derived_from_native_gap_count,0.006120953489374542,0.8,0.02293202293202293,0.0,True
rome,rome:60:104-0-s145:p0,1.2,14.399999999999999,12.0,2090.0,2090.0,0.0,0,159.16057416267944,33.11464114832536,24,10,2,derived_from_native_gap_count,0.006120953489374542,0.8,0.02293202293202293,0.0,True
rome,rome:60:105-0-s77:p0,0.1,1.2000000000000002,12.0,360.0,360.0,0.0,0,55.403333333333336,,24,8,0,derived_from_native_gap_count,0.0006574621959237344,1.0,,,True
rome,rome:60:105-0-s77:p0,0.2,2.4000000000000004,12.0,360.0,360.0,0.0,0,111.17333333333333,,24,8,0,derived_from_native_gap_count,0.0006574621959237344,1.0,,,True
rome,rome:60:105-0-s77:p0,0.3,3.5999999999999996,12.0,360.0,360.0,0.0,0,166.9433333333333,,24,8,0,derived_from_native_gap_count,0.0006574621959237344,1.0,,,True
rome,rome:60:105-0-s77:p0,0.4,4.800000000000001,12.0,360.0,360.0,0.0,0,222.71333333333334,,24,8,0,derived_from_native_gap_count,0.0006574621959237344,1.0,,,True
rome,rome:60:105-0-s77:p0,0.5,6.0,12.0,360.0,360.0,0.0,0,278.48333333333335,,24,8,0,derived_from_native_gap_count,0.0006574621959237344,1.0,,,True
rome,rome:60:105-0-s77:p0,0.6,7.199999999999999,12.0,360.0,360.0,0.0,0,334.2533333333332,,24,8,0,derived_from_native_gap_count,0.0006574621959237344,1.0,,,True
rome,rome:60:105-0-s77:p0,0.7,8.399999999999999,12.0,360.0,360.0,0.0,0,390.0233333333333,,24,8,0,derived_from_native_gap_count,0.0006574621959237344,1.0,,,True
rome,rome:60:105-0-s77:p0,0.8,9.600000000000001,12.0,360.0,360.0,0.0,0,445.79333333333335,,24,8,0,derived_from_native_gap_count,0.0006574621959237344,1.0,,,True
rome,rome:60:105-0-s77:p0,0.9,10.8,12.0,360.0,360.0,0.0,0,501.56333333333345,,24,8,0,derived_from_native_gap_count,0.0006574621959237344,1.0,,,True
rome,rome:60:105-0-s77:p0,1.0,12.0,12.0,360.0,360.0,0.0,0,557.3333333333334,,24,8,0,derived_from_native_gap_count,0.0006574621959237344,1.0,,,True
