dataset,period_id,mode,graph_proxy_path_count_cap1e12,graph_proxy_entropy_bits,distance_bucket_m,fee_bucket_cents,effective_graph_steps,target_scope,graph_nodes,graph_directed_edges
porto,porto:60:20000338-1-s40:p0,zone_priced_graph_proxy,3991230682,31.89418651899422,100,5000,8,actual_prefix,42,271
porto,porto:60:20000338-1-s40:p0,odometer_only_graph_proxy,3991230682,31.89418651899422,100,,8,actual_prefix,42,271
porto,porto:60:20000455-2-s144:p0,zone_priced_graph_proxy,36133651744,35.07262401285336,100,5000,8,actual_prefix,42,271
porto,porto:60:20000455-2-s144:p0,odometer_only_graph_proxy,36133651744,35.07262401285336,100,,8,actual_prefix,42,271
porto,porto:60:20000496-3-s20:p0,zone_priced_graph_proxy,36133651744,35.07262401285336,100,5000,8,actual_prefix,42,271
porto,porto:60:20000496-3-s20:p0,odometer_only_graph_proxy,36133651744,35.07262401285336,100,,8,actual_prefix,42,271
porto,porto:60:20000541-4-s20:p0,zone_priced_graph_proxy,33340000778,34.956535086863724,100,5000,8,actual_prefix,42,271
porto,porto:60:20000541-4-s20:p0,odometer_only_graph_proxy,33340000778,34.956535086863724,100,,8,actual_prefix,42,271
tdrive,tdrive:300:5860-0-s515:p0,zone_priced_graph_proxy,0,0.0,100,5000,8,actual_prefix,2,4
tdrive,tdrive:300:5860-0-s515:p0,odometer_only_graph_proxy,16,4.0,100,,8,actual_prefix,2,4
